City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Bathsheba,BB,83.59,clear sky,13.2167,-59.5167,Atlantis Hotel
180,Seoni,IN,71.08,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
181,Faanui,PF,79.03,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Lompoc,US,80.31,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
187,Alepe,CI,78.67,broken clouds,5.5004,-3.6631,BENENE 1
188,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
191,Sola,VU,77.83,scattered clouds,-13.8833,167.55,Leumerus Bungalows
192,Bonthe,SL,77.11,light rain,7.5264,-12.505,Bonthe Holiday Village
195,Namatanai,PG,78.06,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
196,Lazaro Cardenas,MX,84.78,overcast clouds,17.9583,-102.2,quinta antigua
198,Kavaratti,IN,82.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
202,Katobu,ID,74.46,broken clouds,-4.9408,122.5276,La Ode Husein
203,Mapiripan,CO,75.31,overcast clouds,2.8892,-72.1256,Monserrate
204,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
210,Hami,CN,85.08,overcast clouds,42.8,93.45,Laoyutang Resort
211,Olinda,BR,74.93,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
212,Daru,PG,76.03,broken clouds,-9.0763,143.2092,Daru Lodge
216,Pangkalanbuun,ID,74.59,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
219,Fayaoue,NC,70.92,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
222,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
224,Energetik,RU,75.6,broken clouds,51.7445,58.7934,Zhemchuzhina
225,Broome,US,82.62,few clouds,42.2506,-75.833,Chenango Valley State Park
231,San Pedro,PH,81.63,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
232,Sal Rei,CV,79.36,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
234,Mathbaria,BD,82.02,broken clouds,22.2876,89.9593,Shikdar Hotel
235,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
240,Tupelo,US,88.99,few clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
241,Safaga,EG,89.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
246,Camacha,PT,71.02,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
247,Sinnamary,GF,81.5,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
249,Grand Gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
256,Korla,CN,81.72,overcast clouds,41.7597,86.1469,Gulisitan Hotel
260,Kupang,ID,76.53,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
261,Porto Torres,IT,73.58,broken clouds,40.835,8.3972,Hotel Elisa
262,Naifaru,MV,82.47,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
265,Tanda,IN,83.35,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
269,Mabaruma,GY,84.6,few clouds,8.2,-59.7833,Monty Brooms Guest House
271,Yatou,CN,73.69,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
272,Zaidpur,IN,84.27,overcast clouds,26.8333,81.3333,LAAL KOTHI ZAIDPUR
273,Lipari,IT,82.09,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
278,Careiro Da Varzea,BR,88.43,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
279,Torbay,CA,78.89,broken clouds,47.6666,-52.7314,Gallows Cove
283,Stettler,CA,84.04,clear sky,52.3168,-112.7186,Ramada by Wyndham Stettler
284,Salalah,OM,76.62,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
285,Bubaque,GW,80.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
287,Yenagoa,NG,74.97,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
290,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
