City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Labuhan,ID,2021-08-05 19:50:19,-6.8844,112.2051,76.05,85,79,7.07,broken clouds
60,Atar,MR,2021-08-05 19:50:20,20.5169,-13.0499,103.17,13,0,10.54,clear sky
61,Aden,YE,2021-08-05 19:45:41,12.7794,45.0367,86.67,67,78,5.12,broken clouds
62,Tiksi,RU,2021-08-05 19:48:17,71.6872,128.8694,41.34,86,100,9.53,overcast clouds
63,Severo-Kurilsk,RU,2021-08-05 19:50:20,50.6789,156.125,53.6,83,26,19.28,scattered clouds
64,Corinto,GR,2021-08-05 19:45:30,37.9407,22.9573,93.76,42,0,5.01,clear sky
65,Lebu,CL,2021-08-05 19:50:21,-37.6167,-73.65,55.4,73,100,13.24,overcast clouds
66,Hilo,US,2021-08-05 19:48:25,19.7297,-155.09,78.8,81,90,3.44,overcast clouds
67,Tuktoyaktuk,CA,2021-08-05 19:50:21,69.4541,-133.0374,59.0,77,75,8.05,broken clouds
68,Qadirpur Ran,PK,2021-08-05 19:50:21,30.2924,71.6712,93.09,34,0,7.23,clear sky
69,Vilyuysk,RU,2021-08-05 19:50:22,63.7553,121.6247,52.56,53,0,5.99,clear sky
70,Bambous Virieux,MU,2021-08-05 19:50:22,-20.3428,57.7575,70.05,68,40,11.5,light rain
71,Nyrob,RU,2021-08-05 19:50:22,60.733,56.7202,52.68,97,1,2.86,clear sky
72,Puerto Ayora,EC,2021-08-05 19:50:22,-0.7393,-90.3518,80.56,84,87,5.01,overcast clouds
73,Kavieng,PG,2021-08-05 19:50:23,-2.5744,150.7967,82.04,72,100,3.36,overcast clouds
74,Villarrica,PY,2021-08-05 19:50:23,-25.75,-56.4333,73.72,43,100,4.12,overcast clouds
75,Turinsk,RU,2021-08-05 19:50:23,58.0458,63.696,66.29,91,100,8.37,heavy intensity rain
76,Tura,IN,2021-08-05 19:50:23,25.5198,90.2201,75.99,93,100,2.17,overcast clouds
77,Fort-Shevchenko,KZ,2021-08-05 19:50:24,44.5086,50.263,83.23,53,54,6.91,broken clouds
78,Darab,IR,2021-08-05 19:50:24,28.7519,54.5444,89.83,26,100,2.68,overcast clouds
79,Iqaluit,CA,2021-08-05 19:50:24,63.7506,-68.5145,46.13,71,90,12.66,light rain
80,Mazamari,PE,2021-08-05 19:50:25,-11.3258,-74.5308,88.63,31,3,1.7,clear sky
81,Upernavik,GL,2021-08-05 19:50:25,72.7868,-56.1549,45.18,64,0,7.38,clear sky
82,Cape Town,ZA,2021-08-05 19:46:47,-33.9258,18.4232,58.1,81,0,1.01,clear sky
83,Sistranda,NO,2021-08-05 19:47:49,63.7256,8.834,60.91,77,100,7.72,overcast clouds
84,Ushuaia,AR,2021-08-05 19:50:25,-54.8,-68.3,49.62,75,75,33.38,heavy intensity rain
85,Dikson,RU,2021-08-05 19:49:51,73.5069,80.5464,50.83,87,0,2.46,clear sky
86,Seoul,KR,2021-08-05 19:48:20,37.5683,126.9778,80.08,86,0,2.3,clear sky
87,Sogne,NO,2021-08-05 19:50:26,58.0833,7.8167,62.69,1,44,3.0,scattered clouds
88,Kruisfontein,ZA,2021-08-05 19:50:26,-34.0033,24.7314,56.88,98,100,1.07,light rain
89,Coahuayana,MX,2021-08-05 19:50:26,18.7333,-103.6833,82.78,78,100,3.22,overcast clouds
90,Chuy,UY,2021-08-05 19:50:27,-33.6971,-53.4616,60.51,82,93,9.08,overcast clouds
91,Tasiilaq,GL,2021-08-05 19:50:27,65.6145,-37.6368,41.95,76,24,2.19,few clouds
